시설명,위도,경도,시설용도분류,도로명주소,기타,설명,종류
신흥어린이공원,37.459908,126.90782,FU_BI,서울특별시 금천구 독산로36나길 7,,산책과 휴식을 위한 공간,자연/휴식
느티나무상상어린이공원,37.456135,126.90673,FU_BI,서울특별시 금천구 독산로24가길 20,,산책과 휴식을 위한 공간,자연/휴식
청솔공원,37.624218,127.08792,FU_BI,서울특별시 노원구 화랑로51길 81,,산책과 휴식을 위한 공간,자연/휴식
옹달샘공원,37.62062,127.080925,FU_BI,서울특별시 노원구 노원로1바길 2,,산책과 휴식을 위한 공간,자연/휴식
개미공원,37.620625,127.07781,FU_BI,서울특별시 노원구 공릉로 115-1,,산책과 휴식을 위한 공간,자연/휴식
한성빌딩,37.526382,126.863945,FU_BA,서울특별시 양천구 목동로 201,,역할 정보가 없습니다.,기타
타운빌딩,37.527386,126.86445,FU_BA,서울특별시 양천구 목동로 210,,역할 정보가 없습니다.,기타
닥터스빌딩,37.520943,126.90461,FU_BA,서울특별시 영등포구 영중로 51-1,,역할 정보가 없습니다.,기타
영등포키스톤타워,37.516968,126.906654,FU_BA,서울특별시 영등포구 영중로 6,,역할 정보가 없습니다.,기타
유니온빌딩,37.52145,126.905334,FU_BA,서울특별시 영등포구 영중로 60,,역할 정보가 없습니다.,기타
대선빌딩,37.516888,126.906815,FU_BA,서울특별시 영등포구 영중로2길 1,,역할 정보가 없습니다.,기타
별빛공원,37.61911,127.07222,FU_BI,서울특별시 노원구 섬밭로 26,,산책과 휴식을 위한 공간,자연/휴식
무지개공원,37.62055,127.08327,FU_BI,서울특별시 노원구 노원로1길 73-12,,산책과 휴식을 위한 공간,자연/휴식
돌곶이공원,37.619987,127.06119,FU_BI,서울특별시 노원구 광운로 20,,산책과 휴식을 위한 공간,자연/휴식
달빛공원,37.663055,127.06003,FU_BI,서울특별시 노원구 노원로 532,,산책과 휴식을 위한 공간,자연/휴식
갈월공원,37.670013,127.083176,FU_BI,서울특별시 노원구 덕릉로126가길 16,,산책과 휴식을 위한 공간,자연/휴식
새나라공원,37.622055,127.07281,FU_BI,서울특별시 노원구 동일로179길 22,,산책과 휴식을 위한 공간,자연/휴식
개나리공원,37.669132,127.05746,FU_BI,서울특별시 노원구 동일로228길 23,,산책과 휴식을 위한 공간,자연/휴식
희망공원,37.672413,127.0788,FU_BI,서울특별시 노원구 상계로35가길 37,,산책과 휴식을 위한 공간,자연/휴식
미려빌딩,37.56995,126.98604,FU_BA,서울특별시 종로구 종로 78,,역할 정보가 없습니다.,기타
불암공원,37.664307,127.07869,FU_BI,서울특별시 노원구 덕릉로94가길 20,,산책과 휴식을 위한 공간,자연/휴식
코스모스공원,37.66777,127.08318,FU_BI,서울특별시 노원구 덕릉로118길 29,,산책과 휴식을 위한 공간,자연/휴식
무궁화공원,37.6655,127.069466,FU_BI,서울특별시 노원구 한글비석로46길 44,,산책과 휴식을 위한 공간,자연/휴식
호돌이공원,37.668625,127.05102,FU_BI,서울특별시 노원구 동일로227길 86,,산책과 휴식을 위한 공간,자연/휴식
삼들공원,37.66794,127.05331,FU_BI,서울특별시 노원구 동일로227길 86,,산책과 휴식을 위한 공간,자연/휴식
산철쭉공원,37.67033,127.055534,FU_BI,서울특별시 노원구 동일로 1593,,산책과 휴식을 위한 공간,자연/휴식
꽃사슴공원,37.672554,127.08467,FU_BI,서울특별시 노원구 덕릉로130길 29,,산책과 휴식을 위한 공간,자연/휴식
물보라공원,37.651276,127.06679,FU_BI,서울특별시 노원구 동일로216길 92,,산책과 휴식을 위한 공간,자연/휴식
연촌공원,37.628365,127.062706,FU_BI,서울특별시 노원구 마들로3길 37,,산책과 휴식을 위한 공간,자연/휴식
소곶네공원,37.62102,127.06154,FU_BI,서울특별시 노원구 석계로13길 6-20,,산책과 휴식을 위한 공간,자연/휴식
연천내공원,37.622486,127.061104,FU_BI,서울특별시 노원구 석계로15길 9,,산책과 휴식을 위한 공간,자연/휴식
월계공원,37.620396,127.06118,FU_BI,서울특별시 노원구 광운로 20,,산책과 휴식을 위한 공간,자연/휴식
햇살공원,37.627213,127.051674,FU_BI,서울특별시 노원구 월계로45길 28,,산책과 휴식을 위한 공간,자연/휴식
연지공원,37.628086,127.05325,FU_BI,서울특별시 노원구 초안산로1길 18,,산책과 휴식을 위한 공간,자연/휴식
안골공원,37.63091,127.05144,FU_BI,서울특별시 노원구 월계로45가길 94,,산책과 휴식을 위한 공간,자연/휴식
각심공원,37.629517,127.0515,FU_BI,서울특별시 노원구 초안산로1길 18,,산책과 휴식을 위한 공간,자연/휴식
나팔꽃공원,37.62845,127.0601,FU_BI,서울특별시 노원구 월계로 372,,산책과 휴식을 위한 공간,자연/휴식
당현공원,37.660267,127.07492,FU_BI,서울특별시 노원구 덕릉로83길 12,,산책과 휴식을 위한 공간,자연/휴식
전주동공원,37.659523,127.07369,FU_BI,서울특별시 노원구 한글비석로20길 10,,산책과 휴식을 위한 공간,자연/휴식
구로구 보건소,37.50008,126.88932,FU_BG,서울특별시 구로구 구로중앙로28길 66,,역할 정보가 없습니다.,기타
금천구 보건소,37.456833,126.89541,FU_BG,서울특별시 금천구 시흥대로73길 70,,역할 정보가 없습니다.,기타
은평구 보건소,37.602673,126.92888,FU_BG,서울특별시 은평구 은평로 195,,역할 정보가 없습니다.,기타
관악구보건지소,37.488155,126.93248,FU_BH,서울특별시 관악구 봉천로 279-8,,역할 정보가 없습니다.,기타
금천구 박미보건지소,37.438725,126.904465,FU_BH,서울특별시 금천구 시흥대로12길 10-5,,역할 정보가 없습니다.,기타
꿈나라공원,37.655907,127.07675,FU_BI,서울특별시 노원구 덕릉로76길 29,,산책과 휴식을 위한 공간,자연/휴식
이화공원,37.64671,127.079025,FU_BI,서울특별시 노원구 한글비석로8길 20,,산책과 휴식을 위한 공간,자연/휴식
갓바위공원,37.657593,127.07882,FU_BI,서울특별시 노원구 한글비석로14길 8,,산책과 휴식을 위한 공간,자연/휴식
천보공원,37.65193,127.079544,FU_BI,서울특별시 노원구 중계로 184,,산책과 휴식을 위한 공간,자연/휴식
효성공원,37.620667,127.08867,FU_BI,서울특별시 노원구 화랑로 556,,산책과 휴식을 위한 공간,자연/휴식
새동네어린이공원,37.68895,127.04318,FU_BI,서울특별시 도봉구 도봉산4길 28-17,,산책과 휴식을 위한 공간,자연/휴식
지앤미치과의원 금천점,37.450222,126.91289,FU_BE,서울특별시 금천구 금하로 747-1,,의료 진료를 제공하는 곳,의료시설
아랫말어린이공원,37.525043,126.86186,FU_BI,서울특별시 양천구 오목로46길 9,공사중,산책과 휴식을 위한 공간,자연/휴식
금천연세정형외과의원,37.45041,126.91015,FU_BE,서울특별시 금천구 금하로 724-1,,의료 진료를 제공하는 곳,의료시설
은행나무한의원,37.45085,126.90981,FU_BE,서울특별시 금천구 탑골로 1,,의료 진료를 제공하는 곳,의료시설
우리비뇨기과의원,37.450924,126.9095,FU_BE,서울특별시 금천구 금하로 715-1,,의료 진료를 제공하는 곳,의료시설
갈매기근린공원,37.531357,127.03452,FU_BI,서울특별시 강남구 압구정로 309,,산책과 휴식을 위한 공간,자연/휴식
까치산,37.53674,126.84407,FU_BI,서울특별시 강서구 까치산로2길 95,,역할 정보가 없습니다.,기타
가락근린공원,37.497955,127.124435,FU_BI,서울특별시 송파구 양재대로64길 42,,산책과 휴식을 위한 공간,자연/휴식
거여공원,37.497288,127.14146,FU_BI,서울특별시 송파구 거마로7길 42,,산책과 휴식을 위한 공간,자연/휴식
향유(거마재정비),37.494507,127.147804,FU_BI,서울특별시 송파구 거마로 56,,역할 정보가 없습니다.,기타
마천공원,37.50166,127.14577,FU_BI,서울특별시 송파구 성내천로23길 12,,산책과 휴식을 위한 공간,자연/휴식
소리공원,37.481995,127.12077,FU_BI,,,산책과 휴식을 위한 공간,자연/휴식
신월공원,37.518024,126.83383,FU_BI,서울특별시 양천구 신월로 99-1,,산책과 휴식을 위한 공간,자연/휴식
양천구신트리공원,37.51461,126.85651,FU_BI,서울특별시 양천구 목동동로 3,,산책과 휴식을 위한 공간,자연/휴식
연의체육공원,37.512207,126.83431,FU_BI,서울특별시 양천구 신정로7길 75,,산책과 휴식을 위한 공간,자연/휴식
양천공원,37.518013,126.868164,FU_BI,서울특별시 양천구 목동동로 111,,산책과 휴식을 위한 공간,자연/휴식
신길근린공원,37.501522,126.90589,FU_BI,서울특별시 영등포구 도림로 256-14,,산책과 휴식을 위한 공간,자연/휴식
능말공원,37.615547,127.107216,FU_BI,서울특별시 중랑구 신내역로 165,,산책과 휴식을 위한 공간,자연/휴식
꿈나래공원,37.5609,127.1539,FU_BI,서울특별시 강동구 아리수로64길 29,,산책과 휴식을 위한 공간,자연/휴식
가린열공원,37.500652,126.8542,FU_BI,서울특별시 구로구 고척로52마길 21-12,,산책과 휴식을 위한 공간,자연/휴식
골목공원,37.507072,126.85356,FU_BI,서울특별시 구로구 고척로51길 58,,산책과 휴식을 위한 공간,자연/휴식
무지개공원,37.685654,127.04502,FU_BI,서울특별시 도봉구 도봉로187길 17,,산책과 휴식을 위한 공간,자연/휴식
서원공원,37.683834,127.04331,FU_BI,서울특별시 도봉구 도봉로177길 76-6,,산책과 휴식을 위한 공간,자연/휴식
무수공원,37.680634,127.04274,FU_BI,서울특별시 도봉구 도봉로175길 61,,산책과 휴식을 위한 공간,자연/휴식
누원공원,37.680397,127.05005,FU_BI,서울특별시 도봉구 도봉로180길 6-119,,산책과 휴식을 위한 공간,자연/휴식
금성윗들공원,37.667652,127.04476,FU_BI,서울특별시 도봉구 도봉로150마길 37,,산책과 휴식을 위한 공간,자연/휴식
방학공원,37.663097,127.03226,FU_BI,서울특별시 도봉구 도당로9길 44-6,,산책과 휴식을 위한 공간,자연/휴식
생잇들공원,37.669006,127.039154,FU_BI,서울특별시 도봉구 도당로13라길 106,,산책과 휴식을 위한 공간,자연/휴식
무궁화공원,37.66784,127.04218,FU_BI,서울특별시 도봉구 도당로31길 15-3,,산책과 휴식을 위한 공간,자연/휴식
뒷말공원,37.663788,127.03364,FU_BI,서울특별시 도봉구 도당로11길 5-16,,산책과 휴식을 위한 공간,자연/휴식
사슴공원,37.664455,127.04173,FU_BI,서울특별시 도봉구 도봉로145가길 8-4,,산책과 휴식을 위한 공간,자연/휴식
샛별어린이공원,37.648067,127.029205,FU_BI,서울특별시 도봉구 노해로44길 42-10,,산책과 휴식을 위한 공간,자연/휴식
효자공원,37.65006,127.05102,FU_BI,서울특별시 도봉구 노해로70길 46,,산책과 휴식을 위한 공간,자연/휴식
모랫공원,37.64683,127.05178,FU_BI,서울특별시 도봉구 노해로70길 126,,산책과 휴식을 위한 공간,자연/휴식
탄천,37.498432,127.08829,FU_BJ,,,역할 정보가 없습니다.,기타
용머리공원,37.57277,127.03657,FU_BI,서울특별시 동대문구 청계천로 539,,산책과 휴식을 위한 공간,자연/휴식
역말공원,37.60682,126.91412,FU_BI,서울특별시 은평구 갈현로14길 32,공사중,산책과 휴식을 위한 공간,자연/휴식
샛별어린이공원,37.567978,127.06737,FU_BI,서울특별시 동대문구 장한로17길 20,,산책과 휴식을 위한 공간,자연/휴식
샛말공원,37.57749,127.05013,FU_BI,서울특별시 동대문구 답십리로23길 30,,산책과 휴식을 위한 공간,자연/휴식
제비어린이공원,37.506435,126.92589,FU_BI,서울특별시 동작구 여의대방로44길 10,,산책과 휴식을 위한 공간,자연/휴식
참새공원,37.49817,126.92198,FU_BI,서울특별시 동작구 여의대방로24나길 20,,산책과 휴식을 위한 공간,자연/휴식
동산공원,37.47938,126.96975,FU_BI,서울특별시 동작구 사당로16자길 43,,산책과 휴식을 위한 공간,자연/휴식
토끼공원,37.478123,126.970184,FU_BI,서울특별시 동작구 사당로16길 96,,산책과 휴식을 위한 공간,자연/휴식
까치어린이공원,37.480488,126.979774,FU_BI,서울특별시 동작구 사당로28길 49-2,,산책과 휴식을 위한 공간,자연/휴식
개나리공원,37.486195,126.96569,FU_BI,서울특별시 동작구 사당로2가길 188,,산책과 휴식을 위한 공간,자연/휴식
샛별공원,37.487408,126.965416,FU_BI,서울특별시 동작구 사당로2가길 173,,산책과 휴식을 위한 공간,자연/휴식
반달공원,37.48351,126.96795,FU_BI,서울특별시 동작구 사당로8길 48,,산책과 휴식을 위한 공간,자연/휴식
꿈돌이공원,37.48034,126.969986,FU_BI,서울특별시 동작구 사당로16사길 48,,산책과 휴식을 위한 공간,자연/휴식
노루공원,37.48183,126.9742,FU_BI,서울특별시 동작구 사당로20나길 25,,산책과 휴식을 위한 공간,자연/휴식
새싹공원,37.479965,126.97316,FU_BI,서울특별시 동작구 사당로20사길 22,,산책과 휴식을 위한 공간,자연/휴식
양지공원,37.479885,126.974014,FU_BI,서울특별시 동작구 남부순환로269길 102,,산책과 휴식을 위한 공간,자연/휴식
늘푸른공원,37.48239,126.96917,FU_BI,서울특별시 동작구 사당로16다길 57,,산책과 휴식을 위한 공간,자연/휴식
비둘기어린이공원,37.50603,126.95158,FU_BI,서울특별시 동작구 강남초등2길 15,,산책과 휴식을 위한 공간,자연/휴식
옹달샘어린이공원,37.495186,126.92961,FU_BI,서울특별시 동작구 국사봉6길 58,,산책과 휴식을 위한 공간,자연/휴식
